"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Portugal,32.611,32.48,30.681,28.27,25.954,27.233,37.873,47.391,55.44,59.812,79.447,89.913,108.13,95.149,99.702,118.194,122.654,117.241,124.159,127.63,118.682,121.629,134.644,165.248,189.386,197.624,208.741,240.502,263.249,244.364,238.748,245.119,216.488,226.144,229.995,199.521,206.361,219.748,238.51,239.473,249.912,259.228,269.165,278.694,289.27
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,103.961,104.219,104.344,103.506,104.117,104.624,105.158,105.801,106.49
Qatar,7.829,8.661,7.597,6.468,6.704,6.272,4.95,5.216,5.004,5.288,7.36,6.884,7.646,7.157,7.374,8.138,9.059,11.298,10.255,12.393,17.76,17.538,19.364,23.534,31.734,44.53,60.882,79.712,115.27,97.798,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929,192.45,193.502,204.008,213.09,223.404,234.097,248.166
Romania,46.348,55.674,55.729,48.711,39.361,48.595,52.625,58.852,60.925,54.583,38.762,29.256,19.906,26.795,30.571,36.067,35.921,35.872,42.815,36.183,37.466,40.717,46.174,59.868,76.217,99.699,123.534,174.589,214.317,174.102,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407,239.851,244.158,263.133,281.732,300.875,320.611,342.42
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,992.177,856.322,91.625,196.752,296.466,335.664,419.522,433.619,290.231,209.77,278.075,328.276,369.939,460.746,632.765,817.752,1059.991,1391.683,1778.391,1309.174,1632.841,2044.618,2202.672,2289.244,2056.583,1363.707,1282.663,1578.417,1630.659,1610.381,1667.459,1724.617,1783.008,1845.882,1920.937
Rwanda,1.259,1.429,1.525,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.673,1.847,2.099,2.59,3.15,3.824,4.863,5.379,5.774,6.492,7.316,7.623,8.01,8.294,8.475,9.141,9.511,10.211,11.062,12.029,13.157,14.422,15.809
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.433,0.475,0.497,0.486,0.529,0.578,0.657,0.724,0.793,0.767,0.767,0.819,0.8,0.849,0.917,0.936,0.959,0.992,1.019,1.058,1.118,1.177,1.234,1.293,1.354
Saint Lucia,0.152,0.174,0.164,0.176,0.225,0.254,0.304,0.336,0.384,0.435,0.518,0.549,0.603,0.613,0.638,0.682,0.706,0.721,0.785,0.825,0.834,0.798,0.805,0.883,0.954,1.016,1.135,1.279,1.287,1.279,1.399,1.444,1.438,1.481,1.542,1.641,1.688,1.81,1.874,1.971,2.069,2.156,2.233,2.312,2.393
Saint Vincent and the Grenadines,0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.652,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.771,0.785,0.826,0.864,0.903,0.942,0.983,1.026,1.071
Samoa,0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.586,0.639,0.739,0.801,0.805,0.804,0.804,0.786,0.841,0.861,0.902,0.96,0.996,1.037,1.08,1.124
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.714,1.789,1.91,2.189,2.405,2.061,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.638,1.62,1.672,1.717,1.763,1.806,1.855
Saudi Arabia,164.54,184.291,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586,782.483,762.259,790.062,817.447,847.555,881.987,919.687
Senegal,4.435,4.022,3.937,3.512,3.425,3.75,5.304,6.381,6.311,6.22,7.237,7.111,7.602,7.189,4.908,6.177,6.413,5.915,6.404,6.521,5.965,6.179,6.773,8.698,10.178,11.041,11.858,14.307,17.029,16.29,16.245,17.895,17.835,18.966,19.802,17.777,18.982,21.135,24.027,25.32,28.062,30.601,35.053,39.259,42.373
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.228,17.411,11.369,9.312,12.313,16.177,21.219,24.743,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.629,40.63,44.12,50.651,52.424,56.886,61.336,66.227,71.242,76.813
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.967,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.427,1.498,1.573,1.654,1.739,1.84,1.934,2.037,2.139
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.649,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.786,3.748,3.906,3.998,4.221,4.442,4.723,5.051,5.4
Singapore,12.079,14.363,15.874,18.002,19.55,18.555,18.763,21.606,26.515,31.393,38.9,45.473,52.157,60.645,73.776,87.892,96.401,100.164,85.708,86.285,95.836,89.285,91.942,97.002,114.187,127.418,147.794,179.981,192.231,192.406,236.42,276.622,291.61,305.157,313.26,306.254,316.558,336.679,361.109,372.807,391.875,410.863,431.771,453.867,477.193
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.669,15.772,19.951,21.579,21.891,22.804,20.841,20.691,21.387,24.854,34.023,43.121,49.048,57.402,77.105,97.03,89.171,89.668,98.271,93.466,98.509,101.109,87.814,89.885,95.809,106.585,109.863,117.399,124.755,132.321,139.735,147.101
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.2,16.564,16.783,21.304,21.489,20.791,22.147,22.748,20.446,20.9,23.613,29.736,34.504,36.401,39.621,48.167,55.853,50.372,48.103,51.338,46.378,48.131,49.969,43.124,44.66,48.553,54.242,55.088,58.213,61.2,64.196,67.118,70.293
Solomon Islands,0.177,0.188,0.187,0.176,0.176,0.16,0.143,0.15,0.171,0.167,0.208,0.22,0.261,0.291,0.369,0.429,0.473,0.495,0.423,0.448,0.381,0.38,0.324,0.314,0.363,0.429,0.471,0.516,0.608,0.598,0.681,0.933,1.064,1.13,1.174,1.158,1.235,1.298,1.424,1.511,1.607,1.718,1.833,1.97,2.109
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.192,6.39,6.341,6.419,6.669,6.836,7.124,7.48,7.903,8.341,8.803,9.297,9.819,10.37
South Africa,82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.702,152.611,137.687,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,371.298,386.727,403.422,421.287,439.083,458.578
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.186,11.267,14.947,15.105,12.49,2.954,2.949,3.929,3.151,2.796,2.946,4.056,4.048,4.161
Spain,230.189,204.082,197.154,172.429,171.955,181.172,250.683,317.602,373.143,411.571,533.917,575.021,628.565,528.01,529.824,612.429,638.444,587.92,616.885,634.369,597.03,626.403,707.326,908.413,1070.678,1159.151,1265.607,1481.393,1642.765,1502.901,1434.286,1489.431,1336.759,1362.28,1379.098,1199.688,1238.01,1316.951,1425.865,1429.14,1497.082,1559.902,1627.103,1693.073,1766.427
Sri Lanka,5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.888,18.43,18.532,19.371,18.61,19.585,21.621,23.655,27.945,32.359,37.043,46.602,48.113,56.71,65.267,68.419,74.277,79.312,80.557,81.776,87.351,88.223,84.164,89.942,96.284,103.159,110.373,118.014
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,65.296,55.566,45.677,33.903,31.468,31.113,30.928,31.22,31.574,32.069
Suriname,1.192,1.333,1.372,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.787,3.166,3.069,3.427,3.683,3.919,4.226,4.408,4.646,4.891
Sweden,138.173,126.126,111.343,102.363,106.624,111.544,147.297,179.074,202.607,213.054,255.94,268.618,279.382,210.185,226.335,264.346,288.457,264.834,267.225,271.176,260.157,240.283,264.345,331.531,382.154,389.489,420.538,488.4,514.585,430.113,488.909,563.797,544.482,579.361,574.413,498.118,512.205,535.607,551.135,547.123,576.72,605.789,643.145,682.207,725.108
Switzerland,118.954,108.905,111.579,111.278,106.269,107.779,154.449,193.384,209.365,202.212,258.017,261.197,271.577,264.178,292.675,342.764,330.251,286.565,294.824,289.535,272.188,278.676,301.52,353.154,393.582,408.68,431.138,480.274,553.842,541.619,583.053,699.67,667.89,688.747,709.496,679.721,670.247,679.011,703.75,707.57,740.702,771.958,808.54,845.384,884.272
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.118,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.034,0.046,0.054,0.056,0.058,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.316,0.354,0.393,0.449,0.477,0.527,0.631,0.687,0.744,0.782
Taiwan Province of China,42.3,48.986,49.545,54.162,61.088,63.641,78.234,105.04,126.461,152.727,166.845,187.351,223.123,235.166,256.438,279.27,292.687,303.706,280.407,304.174,331.407,300.422,308.884,318.597,348.521,375.787,388.547,408.221,417.038,392.106,446.141,485.671,495.919,511.599,530.515,525.601,531.357,574.895,589.391,601.431,633.695,670.644,713.242,757.123,803.853
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,7.698,7.838,8.144,8.489,8.822,9.15
Tanzania,7.412,8.865,10.178,10.425,9.485,8.558,10.82,5.331,5.124,4.343,3.43,4.031,3.7,3.412,3.627,4.251,5.311,6.415,9.454,11.624,12.423,12.743,13.216,14.178,15.547,16.93,18.61,21.502,27.368,28.574,31.086,33.583,39.649,45.68,50.003,47.385,49.774,53.271,57.862,61.032,64.888,69.029,73.758,78.811,84.226
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.89,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.297,134.301,152.281,172.895,189.318,221.759,262.943,291.383,281.71,341.105,370.818,397.558,420.334,407.339,401.266,412.437,455.322,487.239,516.662,547.431,577.886,610.266,645.287,679.117
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.44,0.518,0.511,0.543,1.078,1.814,2.658,2.881,4.391,3.2,3.999,5.682,6.671,5.65,4.045,3.104,2.521,2.778,3.09,3.145,3.413,3.333,3.166,3.498,3.886
Togo,1.479,1.228,1.035,0.986,0.906,0.95,1.331,1.562,1.739,1.706,2.055,2.031,2.13,1.623,1.258,1.661,1.815,1.849,1.75,1.757,1.493,1.483,1.706,2.116,2.26,2.283,2.352,2.663,3.326,3.374,3.432,3.871,3.876,4.322,4.576,4.181,4.486,4.795,5.358,5.592,6.132,6.696,7.317,7.977,8.716
Tonga,0.074,0.082,0.081,0.08,0.084,0.079,0.094,0.101,0.119,0.144,0.15,0.174,0.18,0.188,0.203,0.213,0.234,0.22,0.198,0.201,0.195,0.177,0.191,0.212,0.248,0.283,0.294,0.321,0.342,0.338,0.39,0.456,0.459,0.446,0.447,0.413,0.428,0.455,0.47,0.493,0.512,0.531,0.551,0.569,0.585
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.769,27.199,27.48,25.121,21.722,22.053,22.311,22.438,23.235,24.29,25.409,26.605,27.916
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.91,44.84,43.466,44.054,45.81,45.044,46.248,47.634,43.152,41.808,39.956,39.911,36.204,35.15,36.526,39.352,42.638,46.175
Turkey,96.526,97.794,88.854,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,219.091,248.447,179.208,233.34,250.263,261.775,276.012,256.485,273.085,200.305,238.342,311.944,404.853,501.163,550.796,675.01,764.643,644.47,772.29,832.497,873.696,950.328,934.075,859.449,863.39,851.521,766.428,706.237,809.555,929.823,987.577,1044.124,1105.624
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.951,5.363,4.542,5.874,2.379,2.681,2.862,3.857,5.022,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.18,37.926,44.114,50.346,57.059,63.819,70.337,77.661,85.807
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.014,0.013,0.016,0.018,0.022,0.022,0.023,0.027,0.031,0.027,0.032,0.039,0.038,0.038,0.037,0.036,0.037,0.04,0.045,0.049,0.053,0.057,0.062,0.066,0.069
Uganda,5.769,9.341,6.481,7.413,5.703,5.219,5.199,8.384,8.685,7.041,5.743,3.004,2.809,3.323,4.809,5.76,5.944,6.48,6.343,6.029,5.978,6.039,6.494,6.724,8.285,9.603,10.851,13.497,17.279,18.579,20.212,21.108,24.587,25.71,26.723,22.96,24.75,26.456,28.122,30.368,33.62,36.719,40.643,43.403,47.891
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,124.603,134.887,147.17,160.587,174.93,190.331,206.733
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,382.575,424.635,427.876,449.13,469.501,490.903,513.767,538.372
United Kingdom,604.678,587.772,558.717,532.564,504.481,536.81,654.761,812.013,988.304,1005.574,1191.021,1244.811,1284.454,1149.99,1235.021,1336.125,1410.853,1553.949,1641.822,1668.683,1651.392,1626.218,1775.814,2045.693,2404.7,2527.843,2700.951,3085.3,2934.747,2403.357,2455.309,2635.799,2677.082,2755.356,3036.31,2897.06,2669.107,2639.974,2828.644,2829.163,2927.083,3027.128,3142.339,3265.559,3399.017
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9630.7,10252.35,10581.825,10936.45,11458.25,12213.725,13036.625,13814.6,14451.875,14712.825,14448.925,14992.05,15542.6,16197.05,16784.825,17521.75,18219.3,18707.15,19485.4,20494.05,21344.667,22198.116,23059.653,23922.822,24812.956,25728.734
Uruguay,11.199,12.499,10.218,5.609,5.334,5.212,6.47,8.095,8.375,8.827,10.27,12.376,14.223,16.568,19.299,21.312,22.657,23.974,25.394,23.995,22.832,20.907,13.632,12.067,13.708,17.398,19.62,23.461,30.366,31.661,40.285,47.962,51.266,57.531,57.236,53.275,52.687,59.18,60.18,60.231,63.421,66.977,70.693,74.693,78.747
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.559,5.502,6.521,10.168,13.922,14.705,14.948,17.041,13.717,11.632,9.657,10.129,12.001,14.31,17.027,22.307,28.605,33.461,39.338,45.941,51.824,57.7,63.113,66.489,67.069,48.826,41.241,49.199,55.482,62.1,69.265,77.726,87.105
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.527,0.599,0.607,0.681,0.759,0.77,0.798,0.817,0.774,0.798,0.88,0.928,0.942,0.994,1.048,1.105,1.165,1.228
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.667,91.905,97.239,117.676,123.156,95.57,83.67,112.189,143.29,177.531,221.817,289.741,237.294,294.282,334.069,331.457,234.401,212.347,323.595,279.249,143.841,98.468,76.458,70.106,63.565,59.333,55.946,56.149
Vietnam,27.847,13.875,18.405,27.726,48.177,14.999,33.873,42.045,23.234,6.293,6.472,7.642,9.867,13.181,16.312,20.798,24.692,26.892,27.234,28.702,31.176,32.524,35.097,39.563,49.52,57.648,66.393,77.52,98.269,101.634,112.771,134.598,155.483,170.444,185.759,191.288,201.326,220.376,241.272,260.301,282.372,306.008,332.281,361.23,392.844
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.628,30.968,26.819,26.914,29.079,31.385,33.362,35.36,37.491,38.961
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.332,12.757,14.057,17.911,15.328,20.265,23.46,25.503,28.046,27.151,21.243,20.941,25.868,25.179,24.615,25.272,26.345,27.614,29.063,30.629
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,26.127,22.29,25.812,28.09,30.484,32.944,35.605
Africa (Region),440.295,448.775,456.18,436.139,379.79,374.991,410.3,461.663,490.291,530.45,620.104,568.333,567.936,570.104,560.024,665.108,744.05,773.119,783.65,644.255,665.665,645.836,657.897,789.602,947.727,1116.703,1293.58,1510.793,1764.058,1675.807,1967.22,2194.437,2342.678,2424.918,2507.512,2284.576,2164.052,2187.152,2315.754,2445.939,2633.754,2811.156,3015.676,3232.656,3458.872
Asia and Pacific,2324.841,2486.475,2417.78,2568.672,2719.341,2778.923,3535.78,4198.243,5017.59,5220.081,5443.747,5994.785,6567.329,7393.356,8019.709,9116.218,8899.479,8567.516,7758.995,8626.705,9227.187,8608.397,8843.802,9871.067,11135.9,12040.705,12895.763,14747.89,16715.828,17209.319,20112.269,23113.056,24562.999,24918.314,25830.54,25687.694,26597.166,28316.325,30115.739,31582.523,34103.088,36768.729,39524.423,42487.266,45660.505
Australia and New Zealand,185.139,211.495,209.903,201.594,219.112,196.565,208.527,249.627,316.021,351.764,369.147,367.24,358.999,353.54,405.44,440.334,492.613,494.442,437.379,469.894,453.265,429.813,486.404,622.205,758.101,847.488,890.906,1082.887,1191.099,1120.668,1397.032,1681.103,1744.168,1705.316,1657.235,1410.459,1452.904,1586.674,1621.679,1627.478,1706.405,1790.026,1884.274,1984.688,2084.879
Caribbean,23.349,25.832,27.363,27.538,32.855,24.7,24.728,24.871,24.435,26.668,27.947,29.627,31.229,33.267,36.894,43.103,46.751,50.766,54.683,57.662,61.976,64.011,66.969,63.114,68.309,87.873,94.758,107.894,120.216,108.723,118.537,128.445,132.465,136.1,140.48,142.277,142.294,148.161,156.015,161.797,169.879,179.399,189.653,200.672,212.404
Central America,25.618,24.833,25.809,27.298,28.972,31.395,29.544,28.743,27.737,31.206,28.371,35.688,40.144,43.495,47.34,52.336,55.492,60.349,65.323,66.122,69.286,73.191,76.891,80.527,86.889,95.385,105.858,120.266,136.779,137.397,152.746,174.252,189.813,202.859,215.748,232.061,245.311,260.263,268.209,279.198,294.874,312.011,330.363,350.07,373.384
Central Asia and the Caucasus,96.526,97.794,88.854,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,228.985,267.951,207.589,273.649,298.168,313.29,328.175,305.814,322.717,254.417,300.525,386.432,501.02,625.293,717.95,896.672,1042.213,898.89,1081.832,1221.475,1299.325,1421.294,1402.813,1256.109,1199.876,1204.115,1131.673,1081.577,1216.904,1370.414,1463.755,1563.492,1673.392
East Asia,1550.064,1665.617,1584.309,1725.684,1829.522,1914.974,2621.388,3169.685,3871.537,3986.022,4057.692,4605.364,5083.755,5819.922,6322.447,7167.735,6753.012,6420.012,5889.905,6615.611,7168.449,6651.957,6678.492,7279.074,8066.22,8522.214,8901.943,9833.433,11286.353,11865.737,13542.919,15626.59,16767.164,16896.2,17630.453,17845.135,18426.701,19380.99,20964.211,22046.229,23758.561,25555.267,27445.339,29468.032,31624.647
Eastern Europe ,152.926,162.112,175.366,177.142,168.996,169.404,176.822,179.211,205.789,199.411,1149.373,1004.047,318.85,457.492,598.728,766.871,894.528,934.863,816.853,702.46,766.779,866.228,978.675,1195.152,1522.547,1865.296,2261.643,2922.65,3653.979,2860.816,3229.661,3818.996,3891.082,4070.604,3835.239,2887.041,2831.754,3302.846,3558.73,3591.745,3790.727,3993.194,4204.789,4428.945,4677.083
Europe,3992.561,3592.407,3477.627,3388.457,3253.797,3370.659,4541.009,5577.14,6237.786,6336.688,8766.228,9107.412,9127.754,8465.135,9098.539,10510.536,10821.018,10274.483,10441.201,10335.244,9723.881,9876.481,10809.552,13132.749,15254.967,16179.412,17478.419,20392.786,22420.39,19683.857,19980.282,21977.187,21058.742,21937.3,22290.39,19136.484,19141.146,20315.644,21846.374,21791.027,22769.2,23696.306,24711.91,25743.406,26874.959
Middle East (Region),389.687,426.538,415.944,420.445,416.726,419.679,426.411,514.722,551.346,621.616,874.06,620.581,399.549,423.305,469.034,525.612,603.533,653.25,660.046,772.565,956.513,909.602,718.306,802.97,966.124,1181.559,1396.128,1655.276,2069.077,1825.795,2151.708,2566.962,2554.546,2666.345,2738.846,2372.966,2377.087,2562.317,2835.035,2862.093,2996.107,3125.974,3265.138,3414.812,3582.143
North Africa,136.375,130.856,135.728,142.243,147.289,163.702,169.372,195.527,206.281,232.288,232.278,175.496,178.432,179.009,178.428,196.7,218.183,224.372,230.944,244.435,258.104,252.655,232.874,258.731,291.987,339.275,387.91,457.674,553.061,522.541,597.477,627.156,710.854,702.732,701.354,659.579,656.306,584.312,631.807,685.794,739.045,775.658,819.14,865.738,904.908
North America,3376.404,3823.833,3888.277,4166.874,4618.396,4942.863,5131.109,5477.316,5973.898,6483.152,6880.207,7151.059,7553.052,7975.323,8434.67,8648.417,9160.041,9781.134,10277.447,10967.161,11766.727,12147.186,12541.746,13158.989,14102.965,15171.16,16196.565,17062.92,17469.385,16819.982,17765.498,18616.272,19328.395,20008.925,20742.293,21049.37,21419.214,22398.035,23533.141,24428.734,25432.475,26448.196,27479.847,28547.622,29647.24
Pacific Islands ,5.926,5.888,5.635,5.535,5.329,4.98,5.422,5.743,7.258,7.187,6.925,7.893,8.996,10.033,11.057,10.427,11.155,10.817,8.536,8.339,8.116,7.406,7.545,9.15,10.47,11.981,13.195,14.974,17.554,16.753,19.939,24.828,28.552,28.816,30.965,28.303,27.023,28.885,30.308,30.813,32.054,33.437,34.918,36.448,38.112
South America,575.012,579.201,492.798,461.473,451.793,498.889,562.39,596.818,664.75,730.205,807.441,827.494,883.897,954.798,1137.963,1441.933,1530.043,1627.684,1607.963,1295.241,1370.134,1258.956,994.692,1071.035,1299.299,1659.124,2015.976,2497.054,3029.883,2905.173,3742.313,4423.804,4412.812,4409.141,4316.457,3724.621,3588.52,3890.743,3599.002,3638.757,3830.605,4027.403,4234.447,4452.281,4661.938
South Asia,250.202,262.944,271.961,289.486,290.316,313.117,331.226,367.257,393.08,399.007,428.291,386,409.057,406.572,461.309,512.085,552.677,579.507,586.944,628.432,637.266,652.344,686.098,800.876,928.619,1061.671,1205.953,1526.922,1554.721,1706.671,2084.398,2256.362,2285.696,2347.918,2572.327,2690.559,2913.514,3338.767,3441.91,3686.347,4027.179,4410.924,4826.204,5281.93,5784.329
Southeast Asia,236.983,242.736,257.118,261.466,292.478,256.527,266.914,287.047,304.542,328.412,374.316,420.178,477.536,535.339,611.868,711.987,791.853,749.448,508.056,598.616,637.374,612.46,684.738,773.33,871.469,972.058,1165.817,1393.002,1623.888,1600.6,1986.15,2302.697,2438.095,2518.77,2536.747,2457.128,2577.149,2776.894,2925.957,3110.08,3361.987,3608.66,3869.934,4152.676,4455.146
