"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169,19.881,20.152,21.343,22.563,23.945,25.431,27.042
Botswana,1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,3.803,3.806,3.932,3.961,4.261,4.732,4.881,5.024,4.819,5.485,5.803,5.514,5.456,7.539,8.966,10.013,10.175,10.941,11.028,10.272,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383,18.998,19.651,20.873,21.653,22.523,23.838,24.581
Brazil,145.767,167.523,179.102,143.601,142.906,226.858,263.163,286.438,319.991,439.278,455.173,399.108,382.329,429.032,546.57,786.536,850.415,884.308,865.115,599.867,655.435,559.962,509.358,557.681,668.432,890.671,1106.37,1396.108,1694.868,1667.675,2207.62,2613.992,2464.398,2471.563,2456.168,1800.025,1795.601,2053.208,1868.184,1960.19,2062.504,2156.496,2255.582,2359.526,2468.216
Brunei Darussalam,no data,no data,no data,no data,no data,4.434,2.704,3.105,2.955,3.314,3.908,4.109,4.646,4.558,4.537,5.255,5.679,5.769,4.496,5.106,6.662,6.218,6.487,7.279,8.739,10.581,12.736,13.576,16.005,11.892,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,14.082,13.325,14.281,15.332,16.33,17.01,17.203
Bulgaria,24.974,26.937,28.094,28.87,30.668,26.258,23.239,26.938,44.022,44.835,19.768,1.937,7.861,4.266,7.5,12.564,9.491,10.024,13.227,13.501,13.153,14.076,16.277,20.984,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335,64.963,67.044,71.746,76.264,81.116,86.081,91.561
Burkina Faso,2.121,1.846,1.719,1.571,1.404,1.553,2.036,2.37,2.616,2.616,3.101,3.135,3.357,3.2,1.924,2.38,2.587,2.448,2.805,3.013,2.633,2.836,3.218,4.212,4.843,5.474,5.806,6.781,8.409,8.391,8.963,10.734,11.172,11.955,12.398,10.425,10.893,12.349,14.18,14.882,16.266,17.695,19.261,20.913,22.758
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396,3.436,3.573,3.714,3.862,4.078,4.349,4.64
Cabo Verde,0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.652,0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.861,1.597,1.664,1.776,1.97,2.042,2.208,2.378,2.564,2.759,2.976
Cambodia,no data,no data,no data,no data,no data,no data,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.225,24.523,26.979,29.309,31.802,34.448,37.245,40.236
Cameroon,8.193,9.281,8.901,8.972,9.482,9.903,12.909,14.952,15.184,13.539,13.553,15.112,13.851,14.451,9.833,9.326,10.393,10.509,10.495,10.695,9.802,10.377,11.588,14.558,17.44,17.974,19.373,22.397,26.534,26.085,26.193,29.364,29.121,32.358,34.999,30.932,32.635,34.993,38.521,39.219,42.047,45.019,48.399,52.043,56.178
